Date,Open,High,Low,Close,Adj Close,Volume
2019-05-16 08_AM,185.050003,188.580002,185.050003,186.990005,186.990005,12953100
2019-05-17 08_AM,184.83999599999999,187.580002,184.279999,185.300003,185.300003,10485400
2019-05-20 08_AM,181.880005,184.229996,181.369995,182.720001,182.720001,10352000
2019-05-21 08_AM,184.570007,185.699997,183.889999,184.820007,184.820007,7502800
2019-05-22 08_AM,184.729996,186.740005,183.610001,185.320007,185.320007,9213800
2019-05-23 08_AM,182.419998,183.899994,179.669998,180.869995,180.869995,12768800
2019-05-24 08_AM,182.330002,183.630005,180.830002,181.059998,181.059998,8807700
2019-05-28 08_AM,181.53999299999998,184.71000700000002,181.449997,184.309998,184.309998,14843300
2019-05-29 08_AM,183.5,184.559998,181.350006,182.190002,182.190002,12797700
2019-05-30 08_AM,183.080002,183.479996,180.889999,183.009995,183.009995,8581500
2019-05-31 08_AM,180.279999,180.53999299999998,177.16000400000001,177.470001,177.470001,15226500
2019-06-03 08_AM,175.0,175.050003,161.009995,164.149994,164.149994,56059600
2019-06-04 08_AM,163.71000700000002,168.279999,160.83999599999999,167.5,167.5,46044300
2019-06-05 08_AM,167.479996,168.720001,164.630005,168.169998,168.169998,19758300
2019-06-06 08_AM,168.300003,169.699997,167.229996,168.330002,168.330002,12446400
2019-06-07 08_AM,170.169998,173.869995,168.83999599999999,173.350006,173.350006,16917300
2019-06-10 08_AM,174.75,177.860001,173.800003,174.820007,174.820007,14767900
2019-06-11 08_AM,178.479996,179.979996,176.78999299999998,178.100006,178.100006,15266600
2019-06-12 08_AM,178.380005,179.270004,172.880005,175.03999299999998,175.03999299999998,17681500
2019-06-13 08_AM,175.529999,178.029999,174.610001,177.470001,177.470001,12253600
2019-06-14 08_AM,180.509995,181.83999599999999,180.0,181.330002,181.330002,16773700
2019-06-17 08_AM,185.009995,189.5,184.41000400000001,189.009995,189.009995,29459900
2019-06-18 08_AM,194.0,194.529999,187.279999,188.470001,188.470001,37571400
2019-06-19 08_AM,187.0,188.100006,184.550003,187.479996,187.479996,21417100
2019-06-20 08_AM,190.949997,191.16000400000001,187.639999,189.529999,189.529999,14635700
2019-06-21 08_AM,188.75,192.0,188.75,191.139999,191.139999,22751200
2019-06-24 08_AM,192.419998,193.979996,191.570007,192.600006,192.600006,15509000
2019-06-25 08_AM,192.880005,193.139999,188.130005,188.83999599999999,188.83999599999999,16750300
2019-06-26 08_AM,189.53999299999998,190.759995,187.309998,187.66000400000001,187.66000400000001,12808600
2019-06-27 08_AM,189.880005,198.880005,188.270004,189.5,189.5,11159000
2019-06-28 08_AM,190.550003,193.199997,189.940002,193.0,193.0,16378900
2019-07-01 08_AM,195.21000700000002,195.279999,191.929993,193.0,193.0,14204700
2019-07-02 08_AM,193.0,195.0,192.71000700000002,195.0,195.0,9050000
2019-07-03 08_AM,194.16000400000001,197.399994,194.16000400000001,197.199997,197.199997,10246100
2019-07-05 08_AM,196.179993,197.070007,194.169998,196.399994,196.399994,11164100
2019-07-08 08_AM,195.190002,196.679993,193.639999,195.759995,195.759995,9723900
2019-07-09 08_AM,194.970001,199.46000700000002,194.889999,199.21000700000002,199.21000700000002,14698600
2019-07-10 08_AM,200.0,202.96000700000002,199.669998,202.729996,202.729996,20571700
2019-07-11 08_AM,203.259995,203.800003,200.21000700000002,201.229996,201.229996,13678500
2019-07-12 08_AM,199.679993,205.300003,199.16000400000001,204.869995,204.869995,15366300
2019-07-15 08_AM,204.25,205.330002,201.820007,203.91000400000001,203.91000400000001,16030300
2019-07-16 08_AM,203.889999,205.470001,203.100006,203.83999599999999,203.83999599999999,12132700
2019-07-17 08_AM,204.179993,204.360001,201.58999599999999,201.800003,201.800003,12083700
2019-07-18 08_AM,200.149994,202.470001,199.380005,200.779999,200.779999,11956600
2019-07-19 08_AM,202.179993,202.330002,198.070007,198.360001,198.360001,12098300
2019-07-22 08_AM,199.91000400000001,202.570007,198.809998,202.320007,202.320007,13589000
2019-07-23 08_AM,202.83999599999999,204.240005,200.96000700000002,202.360001,202.360001,14583700
2019-07-24 08_AM,197.630005,204.809998,197.220001,204.66000400000001,204.66000400000001,32532500
2019-07-25 08_AM,206.699997,208.66000400000001,198.259995,200.71000700000002,200.71000700000002,39889900
2019-07-26 08_AM,200.190002,202.880005,196.25,199.75,199.75,24434000
2019-07-29 08_AM,199.0,199.630005,195.300003,195.940002,195.940002,16530800
2019-07-30 08_AM,195.389999,198.71000700000002,193.5,197.03999299999998,197.03999299999998,11903600
2019-07-31 08_AM,196.949997,198.759995,192.679993,194.229996,194.229996,14593500
2019-08-01 08_AM,194.169998,198.470001,190.880005,192.729996,192.729996,17777000
2019-08-02 08_AM,191.100006,192.619995,188.070007,189.020004,189.020004,15297000
2019-08-05 08_AM,184.690002,185.669998,179.33999599999999,181.729996,181.729996,23086700
2019-08-06 08_AM,183.690002,185.78999299999998,183.08999599999999,184.509995,184.509995,18035700
2019-08-07 08_AM,183.600006,186.369995,181.220001,185.149994,185.149994,15833200
2019-08-08 08_AM,186.619995,190.33999599999999,184.050003,190.16000400000001,190.16000400000001,14828900
2019-08-09 08_AM,190.0,190.979996,187.119995,187.850006,187.850006,11058800
2019-08-12 08_AM,186.850006,187.58999599999999,184.46000700000002,185.369995,185.369995,10936300
2019-08-13 08_AM,185.520004,191.380005,185.369995,188.449997,188.449997,13577000
2019-08-14 08_AM,185.800003,185.990005,179.309998,179.71000700000002,179.71000700000002,18903700
2019-08-15 08_AM,180.949997,183.199997,180.029999,182.58999599999999,182.58999599999999,12925900
2019-08-16 08_AM,183.75,185.100006,182.360001,183.699997,183.699997,12654600
2019-08-19 08_AM,186.009995,187.5,184.850006,186.169998,186.169998,9691200
2019-08-20 08_AM,185.449997,186.0,182.389999,183.809998,183.809998,10083400
2019-08-21 08_AM,185.0,185.899994,183.139999,183.550003,183.550003,8398200
2019-08-22 08_AM,183.429993,184.110001,179.91000400000001,182.03999299999998,182.03999299999998,10821400
2019-08-23 08_AM,180.83999599999999,183.130005,176.66000400000001,177.75,177.75,17323400
2019-08-26 08_AM,179.399994,180.5,178.240005,180.360001,180.360001,8773600
2019-08-27 08_AM,181.929993,184.03999299999998,181.009995,181.300003,181.300003,14399600
2019-08-28 08_AM,180.529999,181.949997,178.919998,181.759995,181.759995,9386100
2019-08-29 08_AM,183.770004,186.080002,183.470001,185.570007,185.570007,10128700
2019-08-30 08_AM,186.779999,186.800003,183.46000700000002,185.669998,185.669998,10774500
2019-09-03 08_AM,184.0,185.669998,182.110001,182.389999,182.389999,9779400
2019-09-04 08_AM,184.649994,187.75,183.889999,187.139999,187.139999,11308000
2019-09-05 08_AM,188.529999,191.360001,187.940002,190.899994,190.899994,13876700
2019-09-06 08_AM,190.21000700000002,190.21000700000002,186.350006,187.490005,187.490005,15226800
2019-09-09 08_AM,187.729996,188.979996,185.850006,188.759995,188.759995,14722400
2019-09-10 08_AM,187.440002,188.100006,184.550003,186.169998,186.169998,15455900
2019-09-11 08_AM,186.46000700000002,189.440002,186.080002,188.490005,188.490005,11761700
2019-09-12 08_AM,189.860001,190.929993,187.229996,187.470001,187.470001,11419800
2019-09-13 08_AM,187.330002,187.970001,186.53999299999998,187.190002,187.190002,11441100
2019-09-16 08_AM,186.929993,187.78999299999998,185.770004,186.220001,186.220001,8444800
2019-09-17 08_AM,186.66000400000001,188.320007,185.53999299999998,188.080002,188.080002,9671100
2019-09-18 08_AM,188.08999599999999,189.080002,186.009995,188.139999,188.139999,9681900
2019-09-19 08_AM,188.66000400000001,191.100006,188.149994,190.139999,190.139999,10392700
2019-09-20 08_AM,190.66000400000001,193.100006,188.119995,189.929993,189.929993,19934200
2019-09-23 08_AM,189.33999599999999,190.100006,185.21000700000002,186.820007,186.820007,13327600
2019-09-24 08_AM,187.979996,188.03999299999998,180.389999,181.279999,181.279999,18546600
2019-09-25 08_AM,181.449997,183.419998,177.869995,182.800003,182.800003,18068300
2019-09-26 08_AM,181.330002,181.399994,177.669998,180.110001,180.110001,16083300
2019-09-27 08_AM,180.490005,180.759995,175.66000400000001,177.100006,177.100006,14656200
2019-09-30 08_AM,177.869995,178.669998,176.850006,178.080002,178.080002,10740000
2019-10-01 08_AM,179.149994,179.83999599999999,174.880005,175.809998,175.809998,17073000
2019-10-02 08_AM,174.83999599999999,176.529999,173.08999599999999,174.600006,174.600006,16151700
2019-10-03 08_AM,175.570007,179.83999599999999,173.630005,179.380005,179.380005,16086300
2019-10-04 08_AM,179.550003,180.979996,178.100006,180.449997,180.449997,10430200
2019-10-07 08_AM,180.0,181.179993,178.08999599999999,179.679993,179.679993,9178300
2019-10-08 08_AM,178.259995,180.369995,177.720001,177.75,177.75,9466900
2019-10-09 08_AM,179.16000400000001,180.720001,177.940002,179.850006,179.850006,7556900
2019-10-10 08_AM,180.320007,181.610001,179.169998,180.029999,180.029999,8605000
2019-10-11 08_AM,182.149994,186.490005,182.139999,184.190002,184.190002,14930500
2019-10-14 08_AM,184.199997,184.619995,182.570007,183.279999,183.279999,7006000
2019-10-15 08_AM,183.800003,190.380005,183.66000400000001,188.889999,188.889999,15039100
2019-10-16 08_AM,188.320007,189.699997,186.899994,189.550003,189.550003,10516900
2019-10-17 08_AM,190.300003,190.83999599999999,188.770004,190.389999,190.389999,9603000
2019-10-18 08_AM,190.229996,191.490005,183.919998,185.850006,185.850006,16874200
2019-10-21 08_AM,187.03999299999998,189.91000400000001,186.75,189.759995,189.759995,8122600
2019-10-22 08_AM,190.0,190.649994,181.5,182.33999599999999,182.33999599999999,19537600
2019-10-23 08_AM,182.009995,186.380005,182.0,186.149994,186.149994,12300400
2019-10-24 08_AM,184.619995,186.729996,182.800003,186.380005,186.380005,11413500
2019-10-25 08_AM,185.830002,189.0,185.08999599999999,187.889999,187.889999,8061200
2019-10-28 08_AM,187.199997,189.529999,185.080002,189.399994,189.399994,13657900
2019-10-29 08_AM,191.690002,192.529999,188.470001,189.309998,189.309998,13574900
2019-10-30 08_AM,189.559998,190.449997,185.979996,188.25,188.25,28734600
2019-10-31 08_AM,196.699997,198.08999599999999,188.25,191.649994,191.649994,42286500
2019-11-01 08_AM,192.850006,194.110001,189.91000400000001,193.619995,193.619995,21711800
2019-11-04 08_AM,194.550003,197.369995,193.809998,194.720001,194.720001,16371300
2019-11-05 08_AM,195.369995,195.75,193.600006,194.320007,194.320007,9942000
2019-11-06 08_AM,194.029999,194.369995,191.350006,191.550003,191.550003,10973000
2019-11-07 08_AM,191.91000400000001,193.440002,189.470001,190.419998,190.419998,13473000
2019-11-08 08_AM,190.0,192.33999599999999,189.699997,190.83999599999999,190.83999599999999,10760800
2019-11-11 08_AM,189.929993,190.080002,188.53999299999998,189.610001,189.610001,8631200
2019-11-12 08_AM,190.0,195.059998,189.740005,194.470001,194.470001,17615500
2019-11-13 08_AM,194.699997,195.699997,192.740005,193.190002,193.190002,10860700
2019-11-14 08_AM,192.929993,194.029999,191.449997,193.149994,193.149994,9040500
2019-11-15 08_AM,194.259995,195.300003,193.380005,195.100006,195.100006,11524300
2019-11-18 08_AM,194.559998,198.630005,193.050003,197.399994,197.399994,16167200
2019-11-19 08_AM,197.399994,200.0,196.860001,199.320007,199.320007,19056800
2019-11-20 08_AM,198.580002,199.58999599999999,195.429993,197.509995,197.509995,12355400
2019-11-21 08_AM,197.419998,199.08999599999999,196.860001,197.929993,197.929993,12131000
2019-11-22 08_AM,198.380005,199.300003,197.619995,198.820007,198.820007,9959800
2019-11-25 08_AM,199.520004,200.970001,199.25,199.78999299999998,199.78999299999998,15272300
2019-11-26 08_AM,200.0,200.149994,198.03999299999998,198.970001,198.970001,11735500
2019-11-27 08_AM,199.899994,203.139999,199.419998,202.0,202.0,12736600
2019-11-29 08_AM,201.600006,203.800003,201.21000700000002,201.639999,201.639999,7985200
2019-12-02 08_AM,202.130005,202.179993,198.050003,199.699997,199.699997,11503400
2019-12-03 08_AM,197.600006,198.929993,195.080002,198.820007,198.820007,11595300
2019-12-04 08_AM,200.0,200.029999,198.050003,198.71000700000002,198.71000700000002,8456300
2019-12-05 08_AM,199.860001,201.28999299999998,198.21000700000002,199.360001,199.360001,9740400
2019-12-06 08_AM,200.5,201.570007,200.059998,201.050003,201.050003,12270600
2019-12-09 08_AM,200.649994,203.139999,200.21000700000002,201.33999599999999,201.33999599999999,11954800
2019-12-10 08_AM,201.66000400000001,202.050003,200.149994,200.869995,200.869995,9475700
2019-12-11 08_AM,200.279999,202.630005,200.279999,202.259995,202.259995,8036800
2019-12-12 08_AM,202.350006,203.66000400000001,194.100006,196.75,196.75,23734800
2019-12-13 08_AM,196.399994,196.800003,193.169998,194.110001,194.110001,18798000
2019-12-16 08_AM,195.270004,199.119995,194.809998,197.919998,197.919998,14911500
2019-12-17 08_AM,198.83999599999999,199.0,196.130005,198.389999,198.389999,10175700
2019-12-18 08_AM,200.08999599999999,204.300003,200.08999599999999,202.5,202.5,23274400
2019-12-19 08_AM,202.779999,206.300003,202.509995,206.059998,206.059998,16514600
2019-12-20 08_AM,207.479996,207.71000700000002,203.429993,206.300003,206.300003,27306900
2019-12-23 08_AM,206.699997,208.58999599999999,205.679993,206.179993,206.179993,13348900
2019-12-24 08_AM,206.300003,206.78999299999998,205.0,205.119995,205.119995,6046300
2019-12-26 08_AM,205.570007,207.820007,205.309998,207.78999299999998,207.78999299999998,9350700
2019-12-27 08_AM,208.669998,208.929993,206.58999599999999,208.100006,208.100006,10284200
2019-12-30 08_AM,207.860001,207.899994,203.899994,204.41000400000001,204.41000400000001,10524300
2019-12-31 08_AM,204.0,205.559998,203.600006,205.25,205.25,8953500
2020-01-02 08_AM,206.75,209.789993,206.270004,209.77999900000003,209.77999900000003,12077100
2020-01-03 08_AM,207.21000700000002,210.399994,206.949997,208.669998,208.669998,11188400
2020-01-06 08_AM,206.699997,212.77999900000003,206.520004,212.600006,212.600006,17058900
2020-01-07 08_AM,212.82000699999998,214.580002,211.75,213.059998,213.059998,14912400
2020-01-08 08_AM,213.0,216.24000499999997,212.61000099999998,215.22000099999997,215.22000099999997,13475000
2020-01-09 08_AM,217.539993,218.38000499999998,216.27999900000003,218.30000299999998,218.30000299999998,12642800
2020-01-10 08_AM,219.19999700000002,219.88000499999998,217.419998,218.059998,218.059998,12119400
2020-01-13 08_AM,219.600006,221.97000099999997,219.210007,221.91000400000001,221.91000400000001,14463400
2020-01-14 08_AM,221.61000099999998,222.38000499999998,218.63000499999998,219.059998,219.059998,13288900
2020-01-15 08_AM,220.61000099999998,221.67999300000002,220.13999900000002,221.149994,221.149994,10036500
2020-01-16 08_AM,222.57000699999998,222.63000499999998,220.38999900000002,221.770004,221.770004,10015300
2020-01-17 08_AM,222.02999900000003,222.289993,220.52999900000003,222.13999900000002,222.13999900000002,15905900
2020-01-21 08_AM,222.16000400000001,222.36999500000002,219.11999500000002,221.440002,221.440002,14275800
2020-01-22 08_AM,222.309998,222.75,221.27999900000003,221.32000699999998,221.32000699999998,12212800
2020-01-23 08_AM,220.75,221.49000499999997,219.270004,219.75999500000003,219.75999500000003,11195000
2020-01-24 08_AM,220.80000299999998,221.77999900000003,216.11000099999998,217.940002,217.940002,11905800
2020-01-27 08_AM,213.100006,216.059998,212.5,214.86999500000002,214.86999500000002,13810700
2020-01-28 08_AM,216.13999900000002,218.74000499999997,213.520004,217.789993,217.789993,13413800
2020-01-29 08_AM,221.440002,224.19999700000002,218.44999700000002,223.229996,223.229996,33181300
2020-01-30 08_AM,206.529999,211.42999300000002,204.75,209.529999,209.529999,48775500
2020-01-31 08_AM,208.429993,208.690002,201.059998,201.91000400000001,201.91000400000001,31359900
2020-02-03 08_AM,203.440002,205.139999,202.5,204.190002,204.190002,15510500
2020-02-04 08_AM,206.619995,210.600006,205.199997,209.830002,209.830002,19628900
2020-02-05 08_AM,212.50999500000003,212.729996,208.71000700000002,210.11000099999998,210.11000099999998,12538200
2020-02-06 08_AM,210.47000099999997,211.190002,209.33999599999999,210.850006,210.850006,10567500
2020-02-07 08_AM,210.30000299999998,212.82000699999998,209.92999300000002,212.330002,212.330002,12242500
2020-02-10 08_AM,211.520004,213.80000299999998,210.66000400000001,213.059998,213.059998,11856400
2020-02-11 08_AM,210.190002,210.86000099999998,206.509995,207.190002,207.190002,25030800
2020-02-12 08_AM,207.850006,211.22000099999997,207.399994,210.75999500000003,210.75999500000003,13813700
2020-02-13 08_AM,209.520004,214.330002,209.179993,213.13999900000002,213.13999900000002,15396600
2020-02-14 08_AM,214.0,214.92999300000002,212.649994,214.17999300000002,214.17999300000002,10741700
2020-02-18 08_AM,213.55000299999998,217.979996,213.399994,217.80000299999998,217.80000299999998,15609200
2020-02-19 08_AM,217.99000499999997,218.32000699999998,216.11000099999998,217.49000499999997,217.49000499999997,12135100
2020-02-20 08_AM,216.520004,218.770004,212.94999700000002,214.580002,214.580002,13109200
2020-02-21 08_AM,213.479996,214.24000499999997,208.830002,210.17999300000002,210.17999300000002,14092300
2020-02-24 08_AM,201.800003,203.649994,198.169998,200.720001,200.720001,23080100
2020-02-25 08_AM,202.25,203.5,195.949997,196.770004,196.770004,21433500
2020-02-26 08_AM,197.190002,201.21000700000002,195.490005,197.199997,197.199997,16524500
2020-02-27 08_AM,191.820007,195.880005,189.5,189.75,189.75,21682600
2020-02-28 08_AM,182.699997,192.740005,181.820007,192.470001,192.470001,32583500
2020-03-02 08_AM,194.029999,196.570007,188.850006,196.440002,196.440002,24949000
2020-03-03 08_AM,196.220001,197.240005,183.970001,185.889999,185.889999,27984100
2020-03-04 08_AM,189.169998,191.830002,186.389999,191.759995,191.759995,23062500
2020-03-05 08_AM,186.779999,188.990005,183.889999,185.169998,185.169998,19333400
2020-03-06 08_AM,178.330002,183.779999,176.259995,181.08999599999999,181.08999599999999,24559600
2020-03-09 08_AM,169.600006,175.0,165.190002,169.5,169.5,29949000
2020-03-10 08_AM,174.669998,178.28999299999998,169.5,178.190002,178.190002,24517800
2020-03-11 08_AM,174.009995,175.880005,167.66000400000001,170.240005,170.240005,20373900
2020-03-12 08_AM,159.53999299999998,166.600006,154.33999599999999,154.470001,154.470001,43266300
2020-03-13 08_AM,163.529999,170.78999299999998,157.600006,170.279999,170.279999,35028600
2020-03-16 08_AM,152.320007,159.130005,143.100006,146.009995,146.009995,39120400
2020-03-17 08_AM,150.740005,153.940002,140.0,149.419998,149.419998,34255600
2020-03-18 08_AM,139.75,148.179993,137.100006,146.96000700000002,146.96000700000002,37553100
2020-03-19 08_AM,146.619995,159.929993,144.800003,153.130005,153.130005,39862300
2020-03-20 08_AM,156.020004,159.270004,148.0,149.729996,149.729996,32568400
2020-03-23 08_AM,149.66000400000001,152.309998,142.25,148.100006,148.100006,29830800
2020-03-24 08_AM,155.21000700000002,161.309998,152.570007,160.979996,160.979996,30440400
2020-03-25 08_AM,158.919998,162.990005,153.059998,156.21000700000002,156.21000700000002,35184300
2020-03-26 08_AM,158.25,164.0,157.020004,163.33999599999999,163.33999599999999,26556800
2020-03-27 08_AM,158.199997,160.08999599999999,154.75,156.78999299999998,156.78999299999998,24879900
2020-03-30 08_AM,159.179993,166.75,158.059998,165.949997,165.949997,22515200
2020-03-31 08_AM,165.479996,170.929993,164.199997,166.800003,166.800003,23676300
2020-04-01 08_AM,161.619995,164.149994,158.03999299999998,159.600006,159.600006,19507600
2020-04-02 08_AM,159.100006,161.350006,155.919998,158.190002,158.190002,20886300
2020-04-03 08_AM,157.149994,157.91000400000001,150.830002,154.179993,154.179993,25983300
2020-04-06 08_AM,160.149994,166.199997,158.509995,165.550003,165.550003,28453600
2020-04-07 08_AM,171.78999299999998,173.389999,166.009995,168.830002,168.830002,31411900
2020-04-08 08_AM,171.25,175.0,167.740005,174.279999,174.279999,21664200
2020-04-09 08_AM,175.899994,177.080002,171.570007,175.190002,175.190002,23534300
2020-04-13 08_AM,173.669998,175.0,169.449997,174.78999299999998,174.78999299999998,19355400
2020-04-14 08_AM,178.979996,181.229996,176.619995,178.169998,178.169998,21011800
2020-04-15 08_AM,175.190002,178.190002,172.820007,176.970001,176.970001,17423000
2020-04-16 08_AM,177.949997,178.050003,172.509995,176.25,176.25,23593200
2020-04-17 08_AM,179.199997,180.279999,176.66000400000001,179.240005,179.240005,20974800
2020-04-20 08_AM,177.41000400000001,180.5,176.770004,178.240005,178.240005,16110700
2020-04-21 08_AM,175.25,175.380005,168.33999599999999,170.800003,170.800003,24850500
2020-04-22 08_AM,178.449997,184.779999,178.139999,182.279999,182.279999,33369900
2020-04-23 08_AM,184.080002,187.050003,183.149994,185.130005,185.130005,21426600
2020-04-24 08_AM,183.229996,190.41000400000001,180.830002,190.070007,190.070007,28868500
2020-04-27 08_AM,192.66000400000001,193.75,187.41000400000001,187.5,187.5,29197800
2020-04-28 08_AM,188.66000400000001,189.199997,182.559998,182.91000400000001,182.91000400000001,21731000
2020-04-29 08_AM,190.929993,196.91000400000001,190.0,194.190002,194.190002,45954500
2020-04-30 08_AM,206.919998,209.690002,201.570007,204.71000700000002,204.71000700000002,46230100
2020-05-01 08_AM,201.600006,207.279999,199.050003,202.270004,202.270004,30415600
2020-05-04 08_AM,200.199997,205.91000400000001,198.759995,205.259995,205.259995,19250700
2020-05-05 08_AM,207.020004,210.38000499999998,206.5,207.070007,207.070007,21071200
2020-05-06 08_AM,208.119995,211.600006,206.66000400000001,208.470001,208.470001,21857000
2020-05-07 08_AM,211.16000400000001,211.600006,209.03999299999998,211.25999500000003,211.25999500000003,15152000
2020-05-08 08_AM,212.24000499999997,213.210007,210.850006,212.350006,212.350006,12524000
2020-05-11 08_AM,210.88999900000002,215.0,210.36999500000002,213.17999300000002,213.17999300000002,12911900
2020-05-12 08_AM,213.289993,215.27999900000003,210.0,210.100006,210.100006,14704600
2020-05-13 08_AM,209.429993,210.77999900000003,202.110001,205.100006,205.100006,20684600
2020-05-14 08_AM,202.559998,206.929993,200.690002,206.809998,206.809998,17178900
2020-05-15 08_AM,205.270004,211.33999599999999,204.119995,210.88000499999998,210.88000499999998,19375200
